alpha_id,expression,universe,delay,decay,truncation,neutralization,sharpe,fitness,turnover,returns,drawdown,checks_passed,checks_total,status
LLnEgxbv,"ts_decay_linear(rank(multiply(-1, ts_rank(cap, 5))), 4)",TOP500,0,4,0.01,SUBINDUSTRY,0.89,0.4,0.4105,0,0,5,8,FAILED_LOW_SHARPE
,"quantile(ts_product(open, 3), driver=""gaussian"")",TOP3000,0,1,0.015,SECTOR,0.0,0.0,0.0,0,0,0,0,ERROR
E5qNgxG1,"rank(multiply(-1, ts_corr(close, vwap, 20)))",TOP3000,0,3,0.01,SUBINDUSTRY,-0.45,-0.15,0.1846,0,0,4,8,FAILED_LOW_SHARPE
LLnEneVM,"rank(multiply(-1, ts_corr(close, vwap, 20)))",TOP500,0,4,0.01,SUBINDUSTRY,-1.0,-0.59,0.1859,0,0,4,8,FAILED_LOW_SHARPE
blNJNRb6,"rank(multiply(-1, ts_corr(sharesout, volume, 20)))",TOP3000,0,1,0.01,SUBINDUSTRY,0.27,0.05,0.3708,0,0,5,8,FAILED_LOW_SHARPE
e7nNnXnJ,"multiply(-1, winsorize(multiply(-1, ts_corr(close, volume, 20)), std=4))",TOP3000,0,4,0.01,SUBINDUSTRY,-1.01,-0.53,0.1976,0,0,5,8,FAILED_LOW_SHARPE
e7nNLg3N,"multiply(-1, rank(multiply(-1, ts_corr(close, volume, 30))))",TOP3000,0,4,0.02,SUBINDUSTRY,-0.98,-0.58,0.1425,0,0,4,8,FAILED_LOW_SHARPE
9q98JjzK,"multiply(-1, rank(multiply(-1, ts_corr(close, volume, 10))))",TOP1000,0,4,0.015,SUBINDUSTRY,-0.26,-0.06,0.3163,0,0,5,8,FAILED_LOW_SHARPE
blNJv02p,"rank(multiply(-1, ts_corr(close, volume, 20)))",TOP1000,0,1,0.01,SUBINDUSTRY,0.12,0.02,0.2784,0,0,5,8,FAILED_LOW_SHARPE
XgkVYPGl,"rank(multiply(-1, ts_corr(close, low, 20)))",TOP3000,0,4,0.01,SUBINDUSTRY,-0.49,-0.18,0.1766,0,0,4,8,FAILED_LOW_SHARPE
d5nYQ0ZX,"rank(multiply(-1, ts_corr(close, open, 20)))",TOP3000,0,1,0.01,SUBINDUSTRY,-0.42,-0.13,0.2297,0,0,4,8,FAILED_LOW_SHARPE
omnRYGdb,"rank(multiply(-1, ts_covariance(close, volume, 20)))",TOP3000,0,4,0.01,SUBINDUSTRY,0.84,0.42,0.1805,0,0,5,8,FAILED_LOW_SHARPE
N1nLpmro,"rank(multiply(-1, ts_corr(close, high, 20)))",TOP3000,0,4,0.005,SUBINDUSTRY,-0.59,-0.24,0.1769,0,0,4,8,FAILED_LOW_SHARPE
2rv97Lgb,"rank(multiply(-1, ts_corr(adv20, volume, 20)))",TOP3000,0,3,0.01,SUBINDUSTRY,-0.11,-0.01,0.2526,0,0,4,8,FAILED_LOW_SHARPE
1YoOdkzm,"winsorize(ts_rank(ts_rank(low, 30), 3), std=4)",TOP3000,0,2,0.005,SUBINDUSTRY,-0.13,-0.01,0.952,0,0,4,8,FAILED_LOW_SHARPE
mLqdbzdK,"rank(multiply(-1, ts_corr(close, volume, 10)))",TOP3000,0,3,0.01,SUBINDUSTRY,0.87,0.31,0.336,0,0,4,8,FAILED_LOW_SHARPE
YPN8015M,"multiply(-1, rank(multiply(-1, ts_corr(close, volume, 20))))",TOP3000,0,4,0.005,SECTOR,-1.03,-0.62,0.1816,0,0,5,8,FAILED_LOW_SHARPE
d5nY0GKX,"rank(multiply(-1, ts_corr(close, open, 20)))",TOP3000,0,4,0.02,INDUSTRY,-0.31,-0.1,0.1735,0,0,4,8,FAILED_LOW_SHARPE
d5nYRldY,"rank(multiply(-1, ts_covariance(close, volume, 20)))",TOP3000,0,4,0.01,INDUSTRY,0.79,0.42,0.1684,0,0,5,8,FAILED_LOW_SHARPE
